Store Number,Country,Ownership Type,Latitude,Longitude,Street Address,City,State/Province,Timezone,Year
23973-234507,AE,Licensed,25.248634,55.352868,"Airport Road, Dubai Airport, Terminal 1",Dubai,DU,GMT+04:00 Asia/Dubai,2021
34219-17920,AE,Licensed,25.266826,55.317043,Deira- Riqqa Street,Dubai,DU,GMT+04:00 Asia/Dubai,2021
28908-251804,AE,Licensed,25.214725,55.281249,DIFC Building No. 5,Dubai,DU,GMT+04:00 Asia/Dubai,2021
3169-123447,AE,Licensed,25.25258,55.35408,Terminal 3 Departures,Dubai,DU,GMT+04:00 Asia/Dubai,2021
32328-123449,AE,Licensed,25.21554,55.2789,Shaikh Zayed Road In front of DIFC,Dubai,DU,GMT+04:00 Asia/Dubai,2021
31853-109684,AE,Licensed,25.215721,55.277276,Ground Floor Sheikh Zayed Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
59654-291012,AE,Licensed,25.263571,55.348924,Dubai Airprot Terminal 3,Dubai,DU,GMT+04:00 Asia/Dubai,2021
32269-114734,AE,Licensed,25.210916,55.276096,Sheikh Zayed Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
24139-236004,AE,Licensed,25.23914,55.271046,"Jumeirah Beach Road, Diyafa Road",Dubai,DU,GMT+04:00 Asia/Dubai,2021
55641-289490,AE,Licensed,25.198562,55.279598,Financial Centre Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
27072-246650,AE,Licensed,25.196637,55.280883,"Reel Cinema, Dubai Mall, Second Floor",Dubai,DU,GMT+04:00 Asia/Dubai,2021
59128-293309,AE,Licensed,25.252533,55.36618,Dubai Airport Terminal 2,Dubai,DU,GMT+04:00 Asia/Dubai,2021
63758-298187,AE,Licensed,25.252985,55.366166,Airport Road,Dubai,DU,GMT+04:00 Asia/Dubai,2021
1719-136469,AE,Licensed,25.19834,55.27844,"Burj Dubai Boulevard, Sheikh Zayed Rd",Dubai,DU,GMT+04:00 Asia/Dubai,2021
20347-204885,AE,Licensed,25.266795,55.355415,Terminal 1 Departure Gate 1,Dubai,DU,GMT+04:00 Asia/Dubai,2021
48097-261445,AE,Licensed,25.200078,55.275122,"Boulevard Plaza, Dubai, UAE",Dubai,DU,GMT+04:00 Asia/Dubai,2021
